GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
,com.uteq.asistente_academico.service,AuthService,0,65,0,0,0,22,0,5,0,5
,com.uteq.asistente_academico.service,LoginRateLimiterService,2,55,1,5,0,10,1,8,0,6
,com.uteq.asistente_academico.service,RedisService,8,25,0,0,4,5,0,4,0,4
,com.uteq.asistente_academico.service,UsuarioService,4,35,0,0,1,7,1,4,1,4
,com.uteq.asistente_academico,AsistenteAcademicoApplication,5,3,0,0,2,1,1,1,1,1
,com.uteq.asistente_academico.config,SecurityConfig,0,94,0,0,0,19,0,10,0,10
,com.uteq.asistente_academico.config,GlobalExceptionHandler,45,3,0,0,11,1,2,1,2,1
,com.uteq.asistente_academico.controller,AuthController,70,267,6,12,13,55,7,9,1,6
,com.uteq.asistente_academico.controller,DashboardController,10,79,2,2,2,19,2,4,0,4
,com.uteq.asistente_academico.controller,TareaController,62,233,9,17,15,50,10,14,1,10
,com.uteq.asistente_academico.security,JwtAuthFilter,0,56,3,5,0,12,3,3,0,2
